COL/ROW/KEY,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10,COL11,COL12,COL13,COL14,COL15,COL16,COL17
ROW1,ESC,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,,,DEL,
ROW2,TILDE,ONE,TWO,THREE,FOUR,FIVE,SIX,SEVEN,EIGHT,NINE,ZERO,HYPHEN,EQUAL,,BACKSPACE,PGUP,
ROW3,TAB,Q,W,E,R,T,,Y,U,I,O,P,LEFTBRACK,RIGHTBRACK,BACKSLASH,PGDN,
ROW4,CAPS,A,S,D,F,G,,H,J,K,L,SEMICOLON,APOSTROPHE,,ENTER,PRINTSCREEN,
ROW5,SHIFT,Z,X,C,V,B,,N,M,COMMA,PERIOD,FWRDSLASH,RALT,,RSHIFT,UP,
ROW6,LCTRL,,LALT,,SPACE,WIN,,,SPACE,,RCTRL,,FN,,LEFT,DOWN,RIGHT
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
GPIO/KEY,GPI48,GPIO35,GPIO36,GPIO37,GPIO38,GPIO2,GPIO1,GPIO4,GPIO5,GPIO6,GPIO7,GPIO15,GPIO16,GPIO12,GPIO17,GPIO18,GPIO11
GPIO9,ESC,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,,,DEL,
GPIO3,TILDE,ONE,TWO,THREE,FOUR,FIVE,SIX,SEVEN,EIGHT,NINE,ZERO,HYPHEN,EQUAL,,BACKSPACE,PGUP,
GPIO8,TAB,Q,W,E,R,T,,Y,U,I,O,P,LEFTBRACK,RIGHTBRACK,BACKSLASH,PGDN,
GPIO13,CAPS,A,S,D,F,G,,H,J,K,L,SEMICOLON,APOSTROPHE,,ENTER,PRINTSCREEN,
GPIO21,SHIFT,Z,X,C,V,B,,N,M,COMMA,PERIOD,FWRDSLASH,RALT,,RSHIFT,UP,
GPIO47,LCTRL,,LALT,,SPACE,WIN,,,SPACE,,RCTRL,,FN,,LEFT,DOWN,RIGHT
,,,,,,,,,,,,,,,,,
LEDPIN: GPIO10,,,,,,,,,,,,,,,,,
